Số Báo Danh, Họ và Tên, Toán, Ngữ Văn, Vật Lý, Hóa Học, Sinh Học, Lịch Sử, Địa Lý, GDCD, KHTN, KHXH, Ngoại Ngữ, Ghi Chú, Tỉnh
HT1210846,,9.8,4.75,3.0,8.5,9.75,,,,,,6.2,N1,Ha Tinh
HT1212449,,9.8,5.0,8.0,8.5,3.25,,,,,,2.6,N1,Ha Tinh
HT1211333,,9.8,5.25,8.25,4.5,4.25,,,,,,9.0,N1,Ha Tinh
HT1211729,,9.8,6.25,5.75,8.0,10.0,,,,,,4.6,N1,Ha Tinh
HT1212329,,9.8,5.0,9.25,3.75,3.25,,,,,,9.0,N1,Ha Tinh
HT1215003,,9.8,6.0,8.5,8.25,6.5,,,,,,5.6,N1,Ha Tinh
HT1210424,,9.6,5.25,8.75,8.5,4.0,,,,,,9.2,N1,Ha Tinh
HT1209492,,9.6,5.25,9.0,8.5,3.75,,,,,,4.8,N1,Ha Tinh
HT1213149,,9.6,5.75,7.5,9.75,4.25,,,,,,10.0,N1,Ha Tinh
HT1213419,,9.6,5.75,8.0,7.75,5.0,,,,,,6.2,N1,Ha Tinh
HT1208826,,9.6,7.25,9.0,5.75,4.25,,,,,,8.6,N1,Ha Tinh
HT1209322,,9.6,7.0,8.25,9.25,7.75,,,,,,3.6,N1,Ha Tinh
HT1208515,,9.6,6.25,9.25,7.0,5.25,,,,,,4.6,N1,Ha Tinh
HT1211087,,9.6,5.5,8.5,7.75,3.5,,,,,,4.2,N1,Ha Tinh
HT1215982,,9.6,6.25,8.75,2.75,4.75,,,,,,8.4,N1,Ha Tinh
HT1216218,,9.4,6.25,8.25,7.5,5.25,,,,,,6.6,N1,Ha Tinh
HT1213660,,9.4,6.75,8.25,8.75,5.5,,,,,,3.2,N1,Ha Tinh
HT1216463,,9.4,4.75,8.0,7.5,4.25,,,,,,3.0,N1,Ha Tinh
HT1212943,,9.4,5.0,6.25,8.75,9.75,,,,,,4.4,N1,Ha Tinh
HT1212137,,9.4,4.5,7.0,5.75,4.75,,,,,,7.8,N1,Ha Tinh
HT1209768,,9.4,4.5,8.5,7.0,4.5,,,,,,6.8,N1,Ha Tinh
HT1211920,,9.4,4.0,8.25,3.75,3.25,,,,,,8.2,N1,Ha Tinh
HT1212011,,9.4,5.25,2.75,9.0,9.5,,,,,,3.8,N1,Ha Tinh
HT1212941,,9.4,4.75,7.0,3.0,4.25,,,,,,8.6,N1,Ha Tinh
HT1216595,,9.4,8.75,,,,7.25,8.25,7.25,,,9.2,N1,Ha Tinh
HT1213321,,9.4,6.5,8.25,8.75,6.25,,,,,,4.8,N1,Ha Tinh
HT1211794,,9.4,6.25,9.25,3.5,5.75,,,,,,9.8,N1,Ha Tinh
HT1210303,,9.4,6.0,8.25,8.0,4.25,,,,,,6.8,N1,Ha Tinh
HT1211235,,9.4,8.25,8.75,5.25,5.75,,,,,,8.6,N1,Ha Tinh
HT1212009,,9.4,6.5,7.0,7.25,8.5,,,,,,9.4,N1,Ha Tinh
HT1214907,,9.4,5.25,7.0,7.25,8.5,,,,,,6.4,N1,Ha Tinh
HT1215469,,9.4,4.75,8.25,2.0,3.25,,,,,,9.2,N1,Ha Tinh
HT1211658,,9.4,6.25,9.0,8.5,5.0,,,,,,4.6,N1,Ha Tinh
HT1213360,,9.4,7.5,,,,5.0,7.5,9.25,,,10.0,N1,Ha Tinh
HT1211418,,9.4,6.25,2.0,9.0,9.5,,,,,,3.8,N1,Ha Tinh
HT1214843,,9.4,4.75,9.25,2.75,3.25,,,,,,8.4,N1,Ha Tinh
HT1213307,,9.4,4.5,8.25,3.0,2.25,,,,,,9.8,N1,Ha Tinh
HT1209677,,9.4,6.5,8.25,8.25,5.25,,,,,,3.8,N1,Ha Tinh
HT1210183,,9.4,5.0,5.75,8.25,8.0,,,,,,4.8,N1,Ha Tinh
HT1213499,,9.4,6.5,8.0,5.25,4.25,,,,,,7.2,N1,Ha Tinh
HT1214936,,9.4,6.75,8.5,5.25,4.75,,,,,,8.6,N1,Ha Tinh
HT1213179,,9.4,5.25,7.5,2.75,3.75,4.5,6.0,6.75,,,8.6,N1,Ha Tinh
HT1209324,,9.4,5.25,4.0,9.0,9.0,,,,,,5.0,N1,Ha Tinh
HT1208835,,9.4,6.25,7.75,7.5,3.0,,,,,,4.8,N1,Ha Tinh
HT1212653,,9.4,5.5,8.5,7.5,3.75,,,,,,3.6,N1,Ha Tinh
HT1215636,,9.4,6.0,8.5,3.75,3.0,,,,,,8.6,N1,Ha Tinh
HT1209784,,9.4,6.5,9.5,5.75,6.0,,,,,,10.0,N1,Ha Tinh
HT1211390,,9.2,5.25,9.0,7.75,5.75,,,,,,4.4,N1,Ha Tinh
HT1213489,,9.2,7.25,8.5,7.5,4.25,,,,,,3.8,N1,Ha Tinh
HT1210714,,9.2,6.0,8.25,8.0,4.75,,,,,,3.4,N1,Ha Tinh
HT1211648,,9.2,7.0,7.5,5.0,4.0,,,,,,8.4,N1,Ha Tinh
HT1216585,,9.2,8.0,8.0,7.0,6.0,,,,,,5.8,N1,Ha Tinh
HT1215248,,9.2,6.5,7.5,7.75,4.5,,,,,,4.2,N1,Ha Tinh
HT1209236,,9.2,7.0,8.25,7.5,5.75,,,,,,7.2,N1,Ha Tinh
HT1210806,,9.2,5.5,7.75,8.25,5.0,,,,,,4.6,N1,Ha Tinh
HT1216428,,9.2,4.0,8.75,7.25,4.25,,,,,,4.2,N1,Ha Tinh
HT1211698,,9.2,6.0,8.0,7.25,4.75,,,,,,4.0,N1,Ha Tinh
HT1208888,,9.2,5.5,9.0,7.75,6.0,,,,,,3.0,N1,Ha Tinh
HT1212373,,9.2,5.5,7.75,7.75,4.75,,,,,,3.2,N1,Ha Tinh
HT1211370,,9.2,6.0,8.0,8.75,6.5,,,,,,5.2,N1,Ha Tinh
HT1213981,,9.2,7.25,7.25,9.0,3.25,,,,,,6.6,N1,Ha Tinh
HT1216208,,9.2,6.0,8.25,7.75,3.5,,,,,,6.6,N1,Ha Tinh
HT1216408,,9.2,5.75,8.5,8.25,4.25,,,,,,4.4,N1,Ha Tinh
HT1208595,,9.2,7.75,7.75,6.5,5.75,,,,,,9.2,N1,Ha Tinh
HT1209226,,9.2,6.25,8.75,2.25,4.0,,,,,,8.4,N1,Ha Tinh
